CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
24.960.430/0001-13;2024-03-01;1;161138905.2;45956.07;161092949.13;;;8301053479.07;0;;;;;;;;;;;;;;15558903.76;;;;;;;;8113445130.99;;;172049444.32;;;1814730.91;;;1814730.91;84082266.3;6231057.53;;;;;;;;583815756.64;674129080.47
24.976.492/0001-13;2024-01-01;1;311.83;311.83;0;0;0;558697876;558697876;558697876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1525.44;0;0;1525.44;0;24000;0;0;0;0;0;0;0;91394.29;115394.29
24.976.492/0001-13;2024-02-01;1;94477.83;94477.83;0;0;0;558697876;558697876;558697876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;494.87;0;0;494.87;0;18000;0;0;0;0;0;0;0;91470.69;109470.69
24.976.492/0001-13;2024-03-01;1;46467.83;46467.83;0;0;0;558697876;558697876;558697876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;18000;0;0;0;0;0;0;0;91470.69;109470.69
25.032.881/0001-53;2024-01-01;1;299070003.02;529711.72;3287840.54;0;295252450.76;2034235589.2;19444328.43;0;4250000;0;15194328.43;0;0;9380203;0;0;0;0;0;0;3232835.92;0;14259971.94;0;1791773723.35;0;0;;196144526.56;0;;0;0;0;44783951.87;0;44583493.75;200458.12;25292021.91;247403.32;0;4951141.25;0;0;0;0;3626371.01;2597434.97;36714372.46
25.032.881/0001-53;2024-02-01;1;208689651.44;14503.54;26674592.17;0;182000555.73;2099142178.29;19444328.43;0;4250000;0;15194328.43;0;0;8329910;0;0;0;0;0;0;3232835.92;0;16376790.11;0;1804115941.65;0;0;;247642372.18;0;;0;0;0;44442677.16;0;44246493.75;196183.41;25483635.88;216492.2;0;4951141.25;0;0;0;0;3626371.01;2408760.67;36686401.01
25.032.881/0001-53;2024-03-01;1;101444171.2;34169.27;6369564.62;0;95040437.31;2182586474.09;19444328.43;0;4250000;0;15194328.43;0;0;7496919;0;0;0;0;0;0;3520160;0;21656273.12;0;1846235378.53;0;0;;284233415.01;0;;0;0;0;44163177.46;0;43971493.75;191683.71;25483643.31;230304.3;0;4951141.25;0;0;0;0;3626371.01;2645603.01;36937062.88
26.091.656/0001-50;2024-01-01;1;34831543.86;632.7;34830911.16;;;291829251.22;0;;;;;;;;;;;;;;1562987;;;;;;;;290266264.22;;;;;;0;;;;2961670.44;293970.43;;;;;;;1635882.39;56298.09;4947821.35
26.091.656/0001-50;2024-02-01;1;42858527.35;740.16;42857787.19;;;284252235.95;0;;;;;;;;;;;;;;1472328.8;;;;;;;;282779907.15;;;;;;12838;;;12838;2961879.74;246310.58;;;;;;;1487518.78;58414.04;4754123.14
26.091.656/0001-50;2024-03-01;1;21501569.92;547.09;21501022.83;;;302562852.43;0;;;;;;;;;;;;;;1392569.4;;;;;;;;301170283.03;;;;;;11091.18;;;11091.18;2962089.04;254627.26;;;;;;;1650513.23;65588.93;4932818.46
