TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
NX;34,46;0,93;13,14;2,06;1,40;25,02;9,89;7,84;7,46;10,60;0,18;0,04;1,03;8,06;-2,04;2,27;15,65;10,68;15,15;0,68;0,32;1,36;4,91;25,45;;16,77;2,62;;1.140.750.056,00
NXC;12,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NXE;7,58;;;;;;;;;;;-0,23;;;;12,68;0,00;0,00;;0,85;0,15;0,00;;117,55;;0,67;0,00;;4.089.786.726,00
NXGN;23,94;;-258,50;3,79;1,87;46,40;1,66;-0,89;33,46;145,01;5,42;0,15;2,31;7,34;-3,25;2,52;-1,47;-0,72;0,87;0,49;0,51;0,81;4,23;;;6,31;-0,09;;1.606.299.786,00
NXJ;11,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NXMD;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NXMDW;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NXN;11,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NXP;14,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NXPI;214,51;1,89;19,46;6,36;2,26;56,90;27,06;20,95;11,31;17,08;2,00;0,85;4,08;14,66;-3,34;1,91;32,70;11,61;15,70;0,35;0,63;0,55;157,43;;;33,71;11,02;;55.013.084.443,00
NXQ;15,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NXR;16,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NXST;164,96;4,30;15,94;2,40;0,46;56,36;17,19;7,01;3,06;14,55;8,05;2,97;1,12;10,92;-0,52;1,53;15,05;2,86;7,73;0,19;0,81;0,41;12,26;-2,34;;68,77;10,35;;5.514.365.360,00
NXTC;1,59;;-0,71;0,39;0,35;;;;-0,74;1,02;1,73;-0,95;;0,42;-2,90;16,38;-54,82;-48,99;-54,82;0,89;0,11;0,00;;;;4,10;-2,25;;44.365.770,00
NXTD;2,42;;-3,09;0,66;0,56;62,37;-49,30;-68,52;-6,72;-1,06;3,23;-0,50;2,11;1,54;-1,05;4,54;-21,52;-18,17;-15,56;0,84;0,11;0,27;79,33;;;3,64;-0,78;;21.529.530,00
